SIASAM,Water,TAXON,d13C,d15N,C.N,FLEN,TLEN,RWT
10001,Baby Lk.,NPIKE,-26.46,10.03,3.19,813,857,3000
10002,Baby Lk.,WS,-26.25,6.05,3.31,270,278,210
10003,Baby Lk.,WS,-31.79,3.43,3.47,222,241,131
10004,Baby Lk.,WS,-30.98,5.38,3.34,249,260,193
10005,Baby Lk.,WS,-27.09,5.74,3.3,NA,NA,NA
10006,Daisy Lk.,NPIKE,-27.85,9.27,3.25,497,532,800
10007,Daisy Lk.,NPIKE,-27.43,9.36,3.21,521,555,950
10008,Daisy Lk.,NPIKE,-27.9,10.73,3.19,465,490,630
10009,Daisy Lk.,NPIKE,-26.96,10.79,3.19,520,554,910
10010,Daisy Lk.,NPIKE,-26.74,10.86,3.21,432,456,550
10011,Daisy Lk.,NPIKE,-27.78,10.46,3.18,512,549,880
10012,Daisy Lk.,NPIKE,-28.39,9.07,3.21,414,445,590
10013,Daisy Lk.,NPIKE,-27.81,10.7,3.17,484,512,630
10014,Daisy Lk.,WS,-29.34,7.9,3.97,462,499,1200
10015,Daisy Lk.,WS,-26.3,6.36,3.21,218,235,150
10016,Daisy Lk.,SMB,-28.59,7.61,3.6,236,250,230
10017,Daisy Lk.,SMB,-28.44,7.96,3.27,248,261,240
10018,Daisy Lk.,SMB,-27.8,8.53,3.4,250,263,265
10019,Daisy Lk.,SMB,-29.06,8.12,3.68,265,276,310
10020,Daisy Lk.,SMB,-28.22,8.12,3.56,285,297,400
10021,Daisy Lk.,SMB,-28.02,8.28,3.37,285,295,360
10022,Daisy Lk.,SMB,-28.57,8.32,3.3,355,369,660
10023,Daisy Lk.,SMB,-28.08,8.7,3.35,366,382,800
10024,Daisy Lk.,SMB,-28.21,7.94,3.32,385,402,900
10025,Daisy Lk.,SMB,-27.45,8,3.25,393,411,980
10026,Daisy Lk.,WALL,-27.64,7.82,3.19,237,249,140
10027,Daisy Lk.,WALL,-28.04,8.18,3.21,241,255,130
10028,Daisy Lk.,WALL,-28.44,8.74,3.22,252,266,150
10029,Daisy Lk.,WALL,-28.33,8.14,3.23,254,263,165
10030,Daisy Lk.,WALL,-27.93,8.54,3.2,258,273,170
10031,Daisy Lk.,WALL,-28.31,8.19,3.21,262,270,145
10032,Daisy Lk.,WALL,-28.14,7.86,3.27,294,303,220
10033,Daisy Lk.,WALL,-28.16,9.31,3.25,332,354,350
10034,Daisy Lk.,WALL,-27.88,8.61,3.2,397,410,600
10035,Daisy Lk.,WALL,-28.09,10.26,3.34,433,460,750
11001,Baby Lk.,WS,-24.73,6.25,3.38,98,104,12
11002,Baby Lk.,WS,-24.17,5.89,3.35,109,121,20
11003,Baby Lk.,WS,-24.86,6.66,3.34,137,151,32
11004,Baby Lk.,WS,-24.85,7.07,3.43,NA,109,12
11005,Baby Lk.,COSHIN,-27.74,7.1,3.59,73,80,6
11006,Baby Lk.,COSHIN,-29.97,7.9,3.45,84,91,9
11007,Baby Lk.,COSHIN,-30.15,7.61,3.72,81,84,7
11008,Baby Lk.,COSHIN,-29.98,6.58,3.56,81,86,8
11009,Baby Lk.,COSHIN,-30.31,7.13,3.63,87,90,9
11010,Baby Lk.,COSHIN,-29.75,7.76,3.78,89,95,10
11011,Baby Lk.,COSHIN,-32.3,5.96,3.71,89,96,10
11012,Baby Lk.,COSHIN,-30.38,7.22,3.7,91,98,10
11013,Baby Lk.,COSHIN,-31.58,6.38,3.59,88,95,10
11014,Baby Lk.,COSHIN,-28.99,7.68,3.53,97,103,13
11015,Baby Lk.,CCHUB,-24.92,5.15,3.43,NA,115,24
11016,Baby Lk.,CCHUB,-25.42,5.69,3.7,NA,97,11
11017,Baby Lk.,CCHUB,-25.95,5.48,3.46,NA,110,18
11018,Baby Lk.,CCHUB,-26.52,6.8,3.44,58,64,3
11019,Baby Lk.,CCHUB,-26.33,5.83,3.46,73,79,5
11020,Baby Lk.,PSEED,-24.26,6.85,3.44,71,76,8
11021,Baby Lk.,PSEED,-26.04,8.06,3.32,NA,74,9
11022,Baby Lk.,PSEED,-24.22,7.68,3.32,76,81,11
11023,Baby Lk.,PSEED,-24.22,7.9,3.37,82,84,11
11024,Baby Lk.,PSEED,-28.37,6.17,3.28,84,86,13
11025,Baby Lk.,PSEED,-27.28,6.77,3.32,88,92,14
11026,Baby Lk.,PSEED,-29.41,6.1,3.27,91,96,20
11027,Baby Lk.,PSEED,-26.32,7.23,3.25,96,101,21
11028,Baby Lk.,PSEED,-31.76,5.61,3.26,96,102,21
11029,Baby Lk.,PSEED,-33.74,5.76,3.25,104,106,24
11030,Baby Lk.,SMB,-27.69,7.92,3.33,134,144,41
11031,Baby Lk.,SMB,-28.59,7.11,3.39,107,113,19
11032,Baby Lk.,SMB,-27.45,7.47,3.45,119,132,30
11033,Baby Lk.,SMB,-29.32,7.03,3.4,123,128,27
11034,Baby Lk.,SMB,-29.47,6.98,3.39,129,133,34
11035,Baby Lk.,SMB,-28.87,6.91,3.46,102,106,18
11036,Baby Lk.,YPERCH,-28.31,6.11,3.29,73,77,5
11037,Baby Lk.,YPERCH,-29.11,6.73,3.27,82,88,8
11038,Baby Lk.,YPERCH,-28.88,6.24,3.27,73,81,6
11039,Baby Lk.,YPERCH,-29.63,6.27,3.33,75,80,5
11040,Baby Lk.,YPERCH,-29.27,6.35,3.3,87,93,8
11041,Baby Lk.,YPERCH,-28.93,6.54,3.31,89,94,9
11042,Baby Lk.,YPERCH,-33.64,6.09,3.33,93,99,11
11043,Baby Lk.,YPERCH,-28.94,6.67,3.29,104,106,16
11044,Baby Lk.,YPERCH,-29.41,7.3,3.49,112,116,18
11045,Baby Lk.,YPERCH,-27.88,6.88,3.33,123,132,24
11046,Daisy Lk.,BBULL,-30.98,5.53,3.25,NA,143,42
11047,Daisy Lk.,BBULL,-28.08,5.42,3.27,NA,150,42
11048,Daisy Lk.,BBULL,-28.35,6.19,3.25,NA,168,74
11049,Daisy Lk.,BBULL,-28.37,6.61,3.27,NA,166,71
11050,Daisy Lk.,BBULL,-26.64,6.32,3.22,NA,168,73
11051,Daisy Lk.,BBULL,-26.9,6.38,3.26,NA,178,86
11052,Daisy Lk.,BBULL,-26.23,6.79,3.25,NA,187,94
11053,Daisy Lk.,BBULL,-26.9,6.26,3.27,NA,183,80
11054,Daisy Lk.,BBULL,-27.93,6.48,3.24,NA,189,88
11055,Daisy Lk.,BBULL,-26.31,6.55,3.24,NA,196,94
11056,Daisy Lk.,PSEED,-29.68,6.76,3.38,62,66,6
11057,Daisy Lk.,PSEED,-29.37,7.45,3.26,91,94,16
11058,Daisy Lk.,PSEED,-27.72,7.53,3.26,97,102,25
11059,Daisy Lk.,PSEED,-29.15,7.31,3.22,103,111,28
11060,Daisy Lk.,SMB,-27.12,6.98,3.38,106,110,19
11061,Daisy Lk.,SMB,-27.79,6.6,3.28,116,123,30
11062,Daisy Lk.,SMB,-27.01,6.98,3.28,124,131,30
11063,Daisy Lk.,SMB,-26.67,7.71,3.35,131,135,31
11064,Daisy Lk.,SMB,-27.14,7.42,3.31,141,146,48
11065,Daisy Lk.,SMB,-26.67,7.06,3.29,134,139,38
11066,Daisy Lk.,SMB,-26.78,8,3.36,155,159,62
11067,Daisy Lk.,SMB,-26.99,7.88,3.39,146,150,59
11068,Daisy Lk.,SMB,-29.27,7.75,3.3,155,161,65
11069,Daisy Lk.,SMB,-28.3,7.75,3.26,197,204,126
11070,Daisy Lk.,YPERCH,-29.82,6.18,3.34,68,72,4
11071,Daisy Lk.,YPERCH,-31.84,5.81,3.32,73,77,4
11072,Daisy Lk.,YPERCH,-31.73,6.91,3.37,78,82,5
11073,Daisy Lk.,YPERCH,-32.78,7,3.39,77,81,6
11074,Daisy Lk.,YPERCH,-31.44,6.1,3.45,74,76,5
11075,Daisy Lk.,YPERCH,-29.25,6.18,3.3,76,78,5
11076,Daisy Lk.,YPERCH,-34.19,6.06,3.47,74,78,4
11077,Daisy Lk.,YPERCH,-28.11,6.78,3.33,83,86,7
11078,Daisy Lk.,YPERCH,-28.3,8.85,3.23,153,158,48
11079,Daisy Lk.,YPERCH,-25.8,9.98,3.26,159,167,50
12001,Baby Lk.,EPH,-28.08,3.6,4.54,NA,NA,NA
12002,Daisy Lk.,EPH,-25.88,1.69,4.22,NA,NA,NA
12003,Nelson Lk.,EPH,-26.97,0.88,4.57,NA,NA,NA
13001,Baby Lk.,ZOOP,-30.69,1.85,4.63,NA,NA,NA
13002,Daisy Lk.,ZOOP,-32.93,3.1,4.47,NA,NA,NA
13003,Nelson Lk.,ZOOP,-34.07,3.6,5.46,NA,NA,NA
14001,Baby Lk.,PERI,-26.95,1.14,13.7,NA,NA,NA
14002,Daisy Lk.,PERI,-28.47,2.19,10.53,NA,NA,NA
14003,Nelson Lk.,PERI,-25.74,1.59,12.33,NA,NA,NA
14004,Baby Lk.,PERI,-24.92,0.2,9.88,NA,NA,NA
14005,Baby Lk.,PERI,-25.54,0.13,10.19,NA,NA,NA
14006,Baby Lk.,PERI,-25.97,0.12,11.79,NA,NA,NA
14007,Daisy Lk.,PERI,-27.96,3.62,9.21,NA,NA,NA
14008,Daisy Lk.,PERI,-28.26,5.15,9.39,NA,NA,NA
14009,Daisy Lk.,PERI,-25.1,2.58,9.88,NA,NA,NA
14010,Daisy Lk.,PERI,-25.65,1.16,11.13,NA,NA,NA
14011,Daisy Lk.,PERI,-27.8,4.87,10.52,NA,NA,NA
14012,Daisy Lk.,PERI,-27.11,1.83,8.7,NA,NA,NA
14013,Daisy Lk.,PERI,-27.46,2.72,8.27,NA,NA,NA
14014,Daisy Lk.,PERI,-25.17,2.37,9.33,NA,NA,NA
14015,Nelson Lk.,PERI,-26.21,2.85,10.53,NA,NA,NA
14016,Nelson Lk.,PERI,-26.98,0.49,11.71,NA,NA,NA
14017,Nelson Lk.,PERI,-29.09,5.05,10.7,NA,NA,NA
21369,Nelson Lk.,LT,-30.83,7.49,3.39,420,471,812
21371,Nelson Lk.,LT,-31.12,6.41,3.58,320,355,333
21372,Nelson Lk.,LT,-32.24,5.9,3.59,295,332,246
21373,Nelson Lk.,LT,-29.41,8.13,3.54,405,477,900
21374,Nelson Lk.,LT,-32.38,7.98,3.37,392,439,679
21375,Nelson Lk.,LT,-32.16,8.07,3.29,439,490,933
21376,Nelson Lk.,LT,-29.74,8.03,3.62,442,494,960
21377,Nelson Lk.,LT,-30.5,8.25,3.7,465,515,1020
21378,Nelson Lk.,LT,-31.92,7.75,3.34,393,440,685
21379,Nelson Lk.,WS,-24.45,6.08,3.41,455,496,1246
21380,Nelson Lk.,WS,-27.75,6.54,3.3,443,478,1324
21381,Nelson Lk.,WS,-23.84,5.39,3.26,250,270,160
21382,Nelson Lk.,WS,-25.53,4.78,3.29,280,320,300
21383,Nelson Lk.,WS,-27.08,5.12,3.23,290,330,320
21384,Nelson Lk.,WS,-26.22,5.22,3.25,270,290,270
21385,Nelson Lk.,WS,-22.96,4.87,3.27,240,250,180
21386,Nelson Lk.,WS,-28.26,6.87,3.36,461,497,1484
21387,Nelson Lk.,WS,-27.16,5.69,3.3,449,478,1202
21388,Nelson Lk.,WS,-26.53,7.45,3.58,486,521,1456
21389,Nelson Lk.,BUR,-27.43,9.41,3.31,515,515,1000
21391,Nelson Lk.,SMB,-26.72,7.24,3.33,357,382,686
21393,Nelson Lk.,SMB,-28.31,7.36,3.27,382,405,865
21394,Nelson Lk.,SMB,-27.05,7.04,3.28,329,348,575
21395,Nelson Lk.,SMB,-25.38,7.33,3.38,337,356,575
21396,Nelson Lk.,SMB,-24.76,7.7,3.32,439,467,1680
21397,Nelson Lk.,SMB,-27.24,7.18,3.23,332,355,600
21398,Nelson Lk.,SMB,-25.62,7.43,3.28,411,438,1080
21810,Nelson Lk.,YPERCH,-28.62,4.52,3.31,NA,55,1.3
21811,Nelson Lk.,YPERCH,-28.93,4.7,3.53,NA,55,1.3
21812,Nelson Lk.,YPERCH,-27.56,5.26,3.24,78,80,5
21813,Nelson Lk.,YPERCH,-26.45,5.7,3.26,82,85,5.7
21814,Nelson Lk.,YPERCH,-28.68,5.72,3.19,115,120,16.7
21815,Nelson Lk.,YPERCH,-27.56,6.19,3.17,135,140,26.8
21816,Nelson Lk.,YPERCH,-26.8,6.71,3.18,150,159,43.4
21817,Nelson Lk.,SMB,-22.21,5.1,3.36,45,47,1.3
21818,Nelson Lk.,SMB,-21.55,5.44,3.37,45,47,1.2
21819,Nelson Lk.,SMB,-23.93,5.9,3.37,59,60,2.6
21820,Nelson Lk.,SMB,-26.81,6.21,3.27,115,120,20.9
21821,Nelson Lk.,SMB,-27.39,6.37,3.31,110,121,21.5
21822,Nelson Lk.,SMB,-26.84,6.3,3.26,NA,120,24.7
21823,Nelson Lk.,PSEED,-26.9,7.83,3.43,65,70,5.4
21824,Nelson Lk.,PSEED,-27.32,8.36,3.37,89,93,12.7
21825,Nelson Lk.,PSEED,-27.66,8.14,3.37,85,92,10.1
21826,Nelson Lk.,PSEED,-29.46,8.3,3.52,100,107,17.1
21827,Nelson Lk.,PSEED,-30.93,8.44,3.47,105,110,20.2
21828,Nelson Lk.,COSHIN,-27.53,6.88,3.52,149,159,41.1
21829,Nelson Lk.,COSHIN,-27.93,6.63,3.41,125,135,25.5
21830,Nelson Lk.,COSHIN,-28.44,6.21,3.31,115,122,19.3
21831,Nelson Lk.,COSHIN,-28.45,6.65,3.36,141,149,37.1
21832,Nelson Lk.,COSHIN,-27.63,6.56,3.35,NA,145,36.5
21833,Nelson Lk.,WS,-26.06,5.27,3.26,190,202,92.7
21834,Nelson Lk.,WS,-25.71,5.26,3.21,185,191,89.6
21835,Nelson Lk.,BBULL,-23.87,6,3.32,NA,234,NA
21836,Nelson Lk.,BUR,-24.56,7.84,3.25,NA,295,145.2
